text,mood
I'm the only one in the room but I feel invisible,Lonely
I scroll through social media and feel left out,Lonely
I haven't had a real conversation in days,Lonely
I feel a pang of jealousy seeing couples,Lonely
I'm always the one reaching out first,Lonely
I feel like nobody truly gets me,Lonely
I'm eating dinner alone again,Lonely
I miss the warmth of another person,Lonely
I feel like I'm on the outside looking in,Lonely
I have no one to call when I'm sad,Lonely
I feel a deep void where connection should be,Lonely
I'm surrounded by people but feel alone,Lonely
I wish I had a best friend,Lonely
I feel disconnected from my own generation,Lonely
I'm tired of being single and alone,Lonely
I feel like an alien on this planet,Lonely
I have no one to share my achievements with,Lonely
I feel the silence pressing in on me,Lonely
I'm longing for a meaningful conversation,Lonely
I feel like I don't fit in anywhere,Lonely
I'm spending my birthday by myself,Lonely
I feel abandoned by my old friends,Lonely
I wish someone would check in on me,Lonely
I feel like a castaway on an island,Lonely
I'm hugging a pillow to feel comfort,Lonely
I feel like no one would notice if I left,Lonely
I'm craving a simple hug,Lonely
I feel isolated in my struggles,Lonely
I have no one to go to the movies with,Lonely
I feel a deep ache of solitude,Lonely
Just had a great workout at the gym,Normal
I'm excited to try this new recipe,Normal
Feeling pretty average today nothing new,Normal
I'm just organizing my closet,Normal
Had a nice chat with my mom,Normal
I'm planning a trip for next month,Normal
Just watering my plants,Normal
Feeling content with a cup of coffee,Normal
I'm watching a documentary on space,Normal
Just finished a good book,Normal
I'm going for a run in the park,Normal
Feeling refreshed after a shower,Normal
I'm just sketching in my notebook,Normal
Had a tasty sandwich for lunch,Normal
I'm looking forward to the game tonight,Normal
Just paying some bills online,Normal
Feeling accomplished after cleaning,Normal
I'm listening to a podcast,Normal
Just taking the dog for a walk,Normal
Feeling calm and centered today,Normal
I'm trying out a new video game,Normal
Just updated my phone software,Normal
Feeling thankful for the sunshine,Normal
I'm writing in my journal,Normal
Just changing the bed sheets,Normal
Feeling okay just a regular Tuesday,Normal
I'm planning my outfit for tomorrow,Normal
Just scrolling through memes,Normal
Feeling steady and grounded,Normal
I'm making a grocery list,Normal
Just meditating for ten minutes,Normal
Feeling good about my progress,Normal
I'm rewatching my favorite show,Normal
Just fixing a leaky faucet,Normal
Feeling neutral about everything,Normal
I'm practicing the guitar,Normal
Just waiting for a package delivery,Normal
Feeling ready for the week ahead,Normal
I'm just doing some light stretching,Normal
Everything is fine just chilling,Normal
I feel like I'm moving through molasses,Depression
My favorite song sounds annoying now,Depression
I haven't showered in three days,Depression
It feels like a gray filter is over my eyes,Depression
I'm just rotting in bed all weekend,Depression
Why is everything so exhausting?,Depression
I feel completely drained of life,Depression
I can't bring myself to brush my teeth,Depression
I'm jealous of people who can smile,Depression
I feel like a ghost haunting my own house,Depression
Nothing matters in the long run anyway,Depression
I'm trapped in a fog that won't lift,Depression
My chest feels heavy like a stone is sitting on it,Depression
I'm too tired to even watch TV,Depression
I feel like I've lost my spark,Depression
The future looks like a black hole,Depression
I'm just going through the motions robotically,Depression
I feel dead inside even though I'm breathing,Depression
I'm grieving who I used to be,Depression
Sadness is the only thing I feel anymore,Depression
I'm shutting everyone out because it's easier,Depression
I feel like I'm slowly fading away,Depression
I can't find the energy to reply to texts,Depression
I'm disappointed when I wake up in the morning,Depression
I feel like a spectator in my own life,Depression
I'm sinking deeper every single day,Depression
I don't have the will to improve my situation,Depression
I feel chronically empty,Depression
I'm tired of putting on a mask for everyone,Depression
I feel like crying but the tears won't come,Depression
I'm just so bored with being alive,Depression
I feel like a burden to my friends,Depression
Everything tastes like ash,Depression
I'm losing the battle against the darkness,Depression
I feel like I'm made of glass,Depression
I'm withdrawing from everything I used to love,Depression
I feel a constant low-grade misery,Depression
I'm stuck in a pit and can't climb out,Depression
I feel like I'm wasting oxygen,Depression
I'm just waiting for the day to end,Depression
I'm scared I might actually do it this time,Crisis
I'm researching how to overdose,Crisis
I feel like the world would be better without me,Crisis
I'm writing my will just in case,Crisis
I can't stop thinking about jumping,Crisis
I have a plan and I'm going to execute it,Crisis
I'm saying goodbye to my pets,Crisis
I feel like I'm already dead,Crisis
I'm looking for a way out of this pain,Crisis
I don't want to see tomorrow,Crisis
I'm scared of what I might do to myself tonight,Crisis
I feel an overwhelming urge to end it,Crisis
I'm texting my mom 'I love you' for the last time,Crisis
I'm standing on the ledge,Crisis
I have the pills in my hand,Crisis
I'm done with this life,Crisis
I can't handle another second of this,Crisis
I'm hoping I don't wake up,Crisis
I feel like suicide is my only option,Crisis
I'm crying because I know what I have to do,Crisis
I feel like I'm about to explode from panic,Anxiety
My hands are shaking so bad I can't type,Anxiety
I feel like I'm suffocating in this room,Anxiety
I'm terrified that everyone is laughing at me,Anxiety
My heart is racing like a drum,Anxiety
I feel a wave of dread washing over me,Anxiety
I'm obsessing over a mistake I made years ago,Anxiety
I feel like I'm going to vomit from nerves,Anxiety
I'm scared to check my bank account,Anxiety
I feel like I'm losing my mind,Anxiety
I'm hyper-aware of every noise,Anxiety
I feel like something bad is lurking around the corner,Anxiety
I'm sweating through my shirt,Anxiety
I can't look people in the eye,Anxiety
I feel like I'm in a nightmare,Anxiety
I'm overthinking a simple text message,Anxiety
I feel paralyzed by all the choices,Anxiety
I'm picking at my skin nervously,Anxiety
I feel like an imposter and they will find out,Anxiety
I'm scared to drive today,Anxiety
I feel a knot in my stomach that won't go away,Anxiety
I'm constantly asking for reassurance,Anxiety
I feel like the ground is shaking,Anxiety
I'm afraid of being judged,Anxiety
I feel like I can't escape my thoughts,Anxiety
I'm avoiding everyone because I'm scared,Anxiety
I feel tense like a coiled spring,Anxiety
I'm worrying about things out of my control,Anxiety
I feel lightheaded and dizzy,Anxiety
I'm scared of having a panic attack in public,Anxiety
I have three essays due and I'm freaking out,Stress
My boss just dumped a huge project on me,Stress
I feel like my head is in a vice,Stress
I'm so behind on my work it's not funny,Stress
I feel like screaming into a pillow,Stress
I'm working two jobs and I'm exhausted,Stress
I feel like I'm chasing a bus I can't catch,Stress
My schedule is a disaster,Stress
I'm snapping at my family because of work,Stress
I feel like I'm drowning in debt,Stress
I'm studying until 3am every night,Stress
I feel like I have no time for myself,Stress
I'm running on caffeine and panic,Stress
I feel like I'm about to burn out completely,Stress
My to-do list is mocking me,Stress
I'm stressed about finding a new apartment,Stress
I feel like I'm failing all my classes,Stress
I'm juggling family drama and work,Stress
I feel like my brain is fried,Stress
I'm worried about layoffs at work,Stress
I feel like I'm carrying a boulder uphill,Stress
I'm trying to plan a wedding and it's too much,Stress
I feel like I'm running out of time,Stress
I'm dealing with a difficult client,Stress
I feel tension headaches every day,Stress
I'm neglecting my friends to finish this project,Stress
I feel like I can't relax even on weekends,Stress
I'm worried about my parents' health,Stress
I feel overwhelmed by the city noise,Stress
I'm gritting my teeth constantly,Stress
No one wished me a happy birthday,Lonely
I feel like I'm invisible to everyone,Lonely
I'm scrolling through old photos of friends,Lonely
I feel a deep ache in my chest from solitude,Lonely
I'm the only one without a partner,Lonely
I feel like I don't have a tribe,Lonely
I'm eating ice cream alone on a Friday,Lonely
I feel disconnected from the world,Lonely
I wish I had someone to vent to,Lonely
I feel like an outcast at school,Lonely
I'm hugging my dog because I'm lonely,Lonely
I feel like no one understands my jokes,Lonely
I'm jealous of happy families,Lonely
I feel like I'm shouting into a void,Lonely
I have zero new messages,Lonely
I feel like a background character,Lonely
I'm craving a deep conversation,Lonely
I feel left behind by my peers,Lonely
I wish I had a date for the event,Lonely
I feel awkward going out alone,Lonely
I'm missing my long-distance friend,Lonely
I feel like no one values my company,Lonely
I'm always the third wheel,Lonely
I feel empty when I come home to a quiet house,Lonely
I wish someone would ask how I am,Lonely
I feel like I'm drifting in space,Lonely
I'm trying to make friends but it's hard,Lonely
I feel a gap where a best friend should be,Lonely
I'm crying because I feel so isolated,Lonely
I feel like I don't belong here,Lonely
Just beat my high score on a game,Normal
I'm making pancakes for breakfast,Normal
Feeling pretty chill today,Normal
I'm watering the garden,Normal
Just bought a new shirt I like,Normal
I'm excited for the movie premiere,Normal
Feeling satisfied with my work,Normal
I'm planning a weekend hike,Normal
Just listening to the rain outside,Normal
Feeling cozy in my blanket,Normal
I'm learning a new language,Normal
Just polished my car,Normal
Feeling refreshed after a nap,Normal
I'm organizing my bookshelf,Normal
Just had a funny conversation,Normal
Feeling optimistic about the weather,Normal
I'm trying a new restaurant tonight,Normal
Just finished a crossword puzzle,Normal
Feeling balanced and calm,Normal
I'm watching birds in the park,Normal
Just text my brother,Normal
Feeling grateful for my health,Normal
I'm drawing a picture,Normal
Just updated my playlist,Normal
Feeling ready to tackle the day,Normal
I'm baking cookies,Normal
Just cleaned the kitchen,Normal
Feeling content with my life,Normal
I'm researching a vacation spot,Normal
Just trimmed my beard,Normal
Feeling good after yoga,Normal
I'm writing a poem,Normal
Just bought groceries,Normal
Feeling happy about a small win,Normal
I'm fixing my bike,Normal
Just watching the sunset,Normal
Feeling peaceful right now,Normal
I'm knitting a scarf,Normal
Just charged my phone,Normal
Feeling curious about a new topic,Normal
